,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
9608,25438,Auto Consumo Golfo S.A. de C.V.,PL/10682/EXP/ES/2015,-96.20078000000001,19.21495,12806,17.01,regular,0,0,AUTOSERVICIO RAFAEL CUERVO,"Villa Rica I, Heroica Veracruz","gas_station, point_of_interest, establishment"
9609,25441,"PASO DEL NORTE ESTACION DE SERVICIO, S.A. DE C.V.",PL/10683/EXP/ES/2015,-103.3899,25.62088,12807,19.1,regular,0,0,Pemex,"De los Arboles, Ampliacion Senderos","gas_station, point_of_interest, establishment"
9610,25444,JULIO EDUARDO MORALES GENES,PL/10684/EXP/ES/2015,-97.63999,18.66786,12808,18.79,diesel,4.4,15,bp,"Carretera Tecamachalco, Av. 9 Ote. Km 105, Tepanco de Lopez","gas_station, point_of_interest, establishment"
9611,25445,ESTACION ENERGETICA LOS ANGELES SA DE CV,PL/11232/EXP/ES/2015,-100.3271,25.70942,12809,18.95,regular,4.7,6,Pemex,"Av Bernardo Reyes 3605, Niño Artillero, Monterrey","gas_station, point_of_interest, establishment"
9612,25448,REY MORALES UGALDE,PL/10685/EXP/ES/2015,-97.77401,18.97687,12810,18.79,diesel,3.4,17,Gas Carburante Soni GAS,"Xalapa - Puebla 133, La Alcantarilla, Acatzingo de Hidalgo","gas_station, point_of_interest, establishment"
9613,25449,TRASAGAS SA DE CV,PL/11231/EXP/ES/2015,-103.3898,20.59455,12811,18.89,regular,4.1,26,Gasolinera Pemex,"Anillo Perif. Sur Manuel Gómez Morín No. 7215, Santa María Tequepexpan, San Pedro Tlaquepaque","gas_station, point_of_interest, establishment"
9614,25452,"PASO DEL NORTE ESTACION DE SERVICIO, S.A. DE C.V.",PL/10686/EXP/ES/2015,-103.4592,25.57108,12815,19.19,regular,3.6,58,Gasolinera Pemex,"Tamazula No. 655, Parque Industrial, Gómez Palacio","gas_station, point_of_interest, establishment"
9615,25455,SERVIEXPRESS HUERTA  SANGUINO S.A DE C.V,PL/10687/EXP/ES/2015,-101.7793,19.81877,12816,19.19,regular,3.8,75,PEMEX,"Salvador Escalante S/N, Anáhuac, Zacapu","gas_station, point_of_interest, establishment"
9616,25458,GASOTECA S.A. DE C.V.,PL/10688/EXP/ES/2015,-103.3466,19.458779999999997,12817,19.8,regular,4.3,19,Gasolinera Pemex,"Carretera, Jiquilpan-Colima Km 137, 73, Tecalitlán","gas_station, point_of_interest, establishment"
9617,25461,"Combustibles y Lubricantes Rachali, S. A. de C. V.",PL/10689/EXP/ES/2015,-108.1406,29.185779999999998,12818,19.75,diesel,3,1,Pemex,"Calle Tercera S/N, Internacional, Madera","gas_station, point_of_interest, establishment"
9618,25463,"Combustibles y Lubricantes Rachali, S. A. de C. V.",PL/10690/EXP/ES/2015,-108.1434,29.19452,12819,19.25,regular,4,1,Pemex,"Calle 3a. No. 304 Esquina Con Calle Morelos, Madera","gas_station, point_of_interest, establishment"
9619,25464,"GRUPO SANCHEZ DE SAHUAYO, S.A. DE C.V.",PL/10691/EXP/ES/2015,-102.7168,20.04475,12820,19.07,regular,3.9,25,PEMEX,"México 15 951, Industrial, Sahuayo de Morelos","gas_station, point_of_interest, establishment"
9620,25466,JORGE LUIS HERNANDEZ HERNANDEZ,PL/10692/EXP/ES/2015,-97.66202,17.261689999999998,12826,19.6,regular,4,4,Gasolinera Pemex,"Calle Hernandez Lopez Sin Numero, Barrio San Bartolo, San Juan Teposcolula","gas_station, point_of_interest, establishment"
9621,25469,CARLOS ENRIQUE GARIBALDI MUNGUIA,PL/10693/EXP/ES/2015,-114.4979,31.68539,12829,18.59,regular,4.1,40,Pemex,"Calle Luis Encinas Y, Av. Sonora No. 609, San Luis Río Colorado","gas_station, point_of_interest, establishment"
9622,25472,GASOLINERA ALBERIQUE SA DE CV,PL/10694/EXP/ES/2015,-97.78246,17.79774,12831,16.11,regular,0,0,Grupo Empresarial 3 Mixtecas,"Fraccionamiento del Valle, Heroica Ciudad de Huajuapan de Leon","gas_station, point_of_interest, establishment"
9623,25475,Comercializadora Central de Combustible SA de CV,PL/10695/EXP/ES/2015,-101.846,21.28652,12832,20.9,regular,4.1,33,Comercializadora Central de Combutible SA de CV,"carretera león-lagos, los nardos, Lagos de Moreno","gas_station, point_of_interest, establishment"
9624,25478,"ESTACION PIRU, S.A. DE C.V.",PL/10696/EXP/ES/2015,-110.9883,29.122790000000002,12834,19.49,regular,0,0,76,"Santa Isabel, Hermosillo","gas_station, point_of_interest, establishment"
9625,25480,"GASOLINERA REFORMA, SA DE CV",PL/10632/EXP/ES/2015,-109.6924,23.05886,12836,19.79,regular,5,1,PEMEX 10899,"Camino Cabo Este 2008, Centro, San José del Cabo","gas_station, point_of_interest, establishment"
9626,25483,"GASOLINERA REFORMA, SA DE CV",PL/10633/EXP/ES/2015,-109.9245,22.9159,12837,18.95,regular,4,63,Pemex,"Blvd.Lomas Del Sol S/N entre Lineamiento y, Estrella, Cabo San Lucas","gas_station, point_of_interest, establishment"
9627,25486,"SERVICIO RP, S.A. DE C.V.",PL/10634/EXP/ES/2015,-115.4788,32.61231,12838,16.49,regular,3.7,51,Pemex,"Calz Anáhuac, Esperanza Conjunto Urbano, Mexicali","gas_station, point_of_interest, establishment"
9628,25488,SUPER SERVICIO HERRERA DEL NORTE SA DE CV,PL/10635/EXP/ES/2015,-106.3671,31.639390000000002,12841,12.71,regular,3.9,89,Gasolinera Morelos,"Henequén 490, Cd Juárez","gas_station, point_of_interest, establishment"
9629,25490,SUPER SERVICIO HERRERA DEL NORTE SA DE CV,PL/10636/EXP/ES/2015,-106.3638,31.65878,12842,12.71,regular,3.6,32,Pemex,"Ave. Jilotepec No. 750, Esq, Juárez-porvenir, Cd Juárez","gas_station, point_of_interest, establishment"
9630,25492,SUPER SERVICIO HERRERA DEL NORTE SA DE CV,PL/10637/EXP/ES/2015,-106.3703,31.67724,12843,12.71,regular,4.2,22,Pemex,"Blvd. Manuel Gómez Morín 1940, Satélite, Cd Juárez","gas_station, point_of_interest, establishment"
